RelativePath,Disposition,PublicTracking,Notes
experiments/prospective-diag-2arm-01/design/FINAL_FREEZE_MANIFEST.json,CANONICAL_FROZEN_EVIDENCE,INCLUDED,"Frozen design, pre-observation patch, manifest, corpus, or target configuration record."
experiments/prospective-diag-2arm-01/design/PROSPECTIVE-DIAG-2ARM-01_FROZEN.md,CANONICAL_FROZEN_EVIDENCE,INCLUDED,"Frozen design, pre-observation patch, manifest, corpus, or target configuration record."
experiments/prospective-diag-2arm-01/design/PROSPECTIVE-DIAG-2ARM-01_v0.2_FREEZE_MANIFEST.json,CANONICAL_FROZEN_EVIDENCE,INCLUDED,"Frozen design, pre-observation patch, manifest, corpus, or target configuration record."
experiments/prospective-diag-2arm-01/design/PROSPECTIVE-DIAG-2ARM-01_v0.2_PREOBS_PATCH.md,CANONICAL_FROZEN_EVIDENCE,INCLUDED,"Frozen design, pre-observation patch, manifest, corpus, or target configuration record."
experiments/prospective-diag-2arm-01/design/PROSPECTIVE-DIAG-2ARM-01_v0.3_FREEZE_MANIFEST.json,CANONICAL_FROZEN_EVIDENCE,INCLUDED,"Frozen design, pre-observation patch, manifest, corpus, or target configuration record."
experiments/prospective-diag-2arm-01/design/PROSPECTIVE-DIAG-2ARM-01_v0.3_PREOBS_PATCH.md,CANONICAL_FROZEN_EVIDENCE,INCLUDED,"Frozen design, pre-observation patch, manifest, corpus, or target configuration record."
experiments/prospective-diag-2arm-01/design/PROSPECTIVE-DIAG-2ARM-01_v0.4_FREEZE_MANIFEST.json,CANONICAL_FROZEN_EVIDENCE,INCLUDED,"Frozen design, pre-observation patch, manifest, corpus, or target configuration record."
experiments/prospective-diag-2arm-01/design/PROSPECTIVE-DIAG-2ARM-01_v0.4_PREOBS_PATCH.md,CANONICAL_FROZEN_EVIDENCE,INCLUDED,"Frozen design, pre-observation patch, manifest, corpus, or target configuration record."
experiments/prospective-diag-2arm-01/design/TARGET_CONFIGURATION_MANIFEST.json,CANONICAL_FROZEN_EVIDENCE,INCLUDED,"Frozen design, pre-observation patch, manifest, corpus, or target configuration record."
experiments/prospective-diag-2arm-01/executions/EXECUTION_001/EXECUTION_RECORD.json,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Preserved execution, raw/log/result, conclusion, or post-execution trace artifact."
experiments/prospective-diag-2arm-01/executions/EXECUTION_002/EXECUTION_RECORD.json,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Preserved execution, raw/log/result, conclusion, or post-execution trace artifact."
experiments/prospective-diag-2arm-01/executions/EXECUTION_003/CONCLUSION.txt,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Preserved execution, raw/log/result, conclusion, or post-execution trace artifact."
experiments/prospective-diag-2arm-01/executions/EXECUTION_003/CONCLUSION_RECORD.json,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Preserved execution, raw/log/result, conclusion, or post-execution trace artifact."
experiments/prospective-diag-2arm-01/executions/EXECUTION_003/EXECUTION_RECORD.json,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Preserved execution, raw/log/result, conclusion, or post-execution trace artifact."
experiments/prospective-diag-2arm-01/executions/EXECUTION_003/LOGS.jsonl,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Preserved execution, raw/log/result, conclusion, or post-execution trace artifact."
experiments/prospective-diag-2arm-01/executions/EXECUTION_003/RAW.jsonl,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Preserved execution, raw/log/result, conclusion, or post-execution trace artifact."
experiments/prospective-diag-2arm-01/executions/EXECUTION_003/RESULTS.json,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Preserved execution, raw/log/result, conclusion, or post-execution trace artifact."
experiments/prospective-diag-2arm-01/executions/EXECUTION_004/CONCLUSION.txt,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Preserved execution, raw/log/result, conclusion, or post-execution trace artifact."
experiments/prospective-diag-2arm-01/executions/EXECUTION_004/CONCLUSION_RECORD.json,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Preserved execution, raw/log/result, conclusion, or post-execution trace artifact."
experiments/prospective-diag-2arm-01/executions/EXECUTION_004/EXECUTION_RECORD.json,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Preserved execution, raw/log/result, conclusion, or post-execution trace artifact."
experiments/prospective-diag-2arm-01/executions/EXECUTION_004/LOGS.jsonl,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Preserved execution, raw/log/result, conclusion, or post-execution trace artifact."
experiments/prospective-diag-2arm-01/executions/EXECUTION_004/RAW.jsonl,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Preserved execution, raw/log/result, conclusion, or post-execution trace artifact."
experiments/prospective-diag-2arm-01/executions/EXECUTION_004/RESULTS.json,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Preserved execution, raw/log/result, conclusion, or post-execution trace artifact."
experiments/prospective-diag-2arm-01/executions/EXECUTION_005/CONCLUSION.txt,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Preserved execution, raw/log/result, conclusion, or post-execution trace artifact."
experiments/prospective-diag-2arm-01/executions/EXECUTION_005/CONCLUSION_RECORD.json,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Preserved execution, raw/log/result, conclusion, or post-execution trace artifact."
experiments/prospective-diag-2arm-01/executions/EXECUTION_005/EXECUTION_RECORD.json,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Preserved execution, raw/log/result, conclusion, or post-execution trace artifact."
experiments/prospective-diag-2arm-01/executions/EXECUTION_005/LOGS.jsonl,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Preserved execution, raw/log/result, conclusion, or post-execution trace artifact."
experiments/prospective-diag-2arm-01/executions/EXECUTION_005/RAW.jsonl,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Preserved execution, raw/log/result, conclusion, or post-execution trace artifact."
experiments/prospective-diag-2arm-01/executions/EXECUTION_005/RESULTS.json,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Preserved execution, raw/log/result, conclusion, or post-execution trace artifact."
experiments/prospective-diag-2arm-01/executions/EXECUTION_005_ANALYSIS.md,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Preserved execution, raw/log/result, conclusion, or post-execution trace artifact."
experiments/prospective-diag-2arm-01/implementation/CHECK_V4_LINE_ENDINGS.py,EXCLUDED_PRIVATE_LOCAL_ARCHIVAL,EXCLUDED,Excluded from public Git tracking by .gitignore; byte-identical local archival original with identifying local path.
experiments/prospective-diag-2arm-01/implementation/CONCLUSION_LOGIC.py,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Implementation, runner, parser, scorer, or pre-execution record preserved with the experiment chain."
experiments/prospective-diag-2arm-01/implementation/PARSER_SCORER.py,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Implementation, runner, parser, scorer, or pre-execution record preserved with the experiment chain."
experiments/prospective-diag-2arm-01/implementation/RUNNER_PREEXEC_RECORD.json,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Implementation, runner, parser, scorer, or pre-execution record preserved with the experiment chain."
experiments/prospective-diag-2arm-01/implementation/RUNNER_PREEXEC_RECORD_v2.json,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Implementation, runner, parser, scorer, or pre-execution record preserved with the experiment chain."
experiments/prospective-diag-2arm-01/implementation/RUNNER_PREEXEC_RECORD_v3.json,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Implementation, runner, parser, scorer, or pre-execution record preserved with the experiment chain."
experiments/prospective-diag-2arm-01/implementation/RUNNER_PREEXEC_RECORD_v4.json,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Implementation, runner, parser, scorer, or pre-execution record preserved with the experiment chain."
experiments/prospective-diag-2arm-01/implementation/RUNNER_PREEXEC_RECORD_v5.json,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Implementation, runner, parser, scorer, or pre-execution record preserved with the experiment chain."
experiments/prospective-diag-2arm-01/implementation/RUN_PROSPECTIVE_DIAG_2ARM_01.py,EXCLUDED_PRIVATE_LOCAL_ARCHIVAL,EXCLUDED,Excluded from public Git tracking by .gitignore; byte-identical local archival original with identifying local path.
experiments/prospective-diag-2arm-01/implementation/RUN_PROSPECTIVE_DIAG_2ARM_01_v2.py,EXCLUDED_PRIVATE_LOCAL_ARCHIVAL,EXCLUDED,Excluded from public Git tracking by .gitignore; byte-identical local archival original with identifying local path.
experiments/prospective-diag-2arm-01/implementation/RUN_PROSPECTIVE_DIAG_2ARM_01_v3.py,EXCLUDED_PRIVATE_LOCAL_ARCHIVAL,EXCLUDED,Excluded from public Git tracking by .gitignore; byte-identical local archival original with identifying local path.
experiments/prospective-diag-2arm-01/implementation/RUN_PROSPECTIVE_DIAG_2ARM_01_v4.py,EXCLUDED_PRIVATE_LOCAL_ARCHIVAL,EXCLUDED,Excluded from public Git tracking by .gitignore; byte-identical local archival original with identifying local path.
experiments/prospective-diag-2arm-01/implementation/RUN_PROSPECTIVE_DIAG_2ARM_01_v5.py,EXCLUDED_PRIVATE_LOCAL_ARCHIVAL,EXCLUDED,Excluded from public Git tracking by .gitignore; byte-identical local archival original with identifying local path.
experiments/prospective-diag-2arm-01/implementation/SMOKE_CLEAN_STDOUT.py,EXCLUDED_PRIVATE_LOCAL_ARCHIVAL,EXCLUDED,Excluded from public Git tracking by .gitignore; byte-identical local archival original with identifying local path.
experiments/prospective-magnitude-01/PROSPECTIVE-MAGNITUDE-01_EXECUTION_001_RESULT.md,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Implementation, runner, parser, scorer, or pre-execution record preserved with the experiment chain."
experiments/prospective-magnitude-01/design/MAGNITUDE_CORPUS_GENERATION_LOG.json,CANONICAL_FROZEN_EVIDENCE,INCLUDED,"Frozen design, pre-observation patch, manifest, corpus, or target configuration record."
experiments/prospective-magnitude-01/design/MAGNITUDE_CORPUS_MANIFEST.json,CANONICAL_FROZEN_EVIDENCE,INCLUDED,"Frozen design, pre-observation patch, manifest, corpus, or target configuration record."
experiments/prospective-magnitude-01/design/MAGNITUDE_EXECUTION_PLAN.json,CANONICAL_FROZEN_EVIDENCE,INCLUDED,"Frozen design, pre-observation patch, manifest, corpus, or target configuration record."
experiments/prospective-magnitude-01/design/MAGNITUDE_FINAL_FREEZE_MANIFEST.json,CANONICAL_FROZEN_EVIDENCE,INCLUDED,"Frozen design, pre-observation patch, manifest, corpus, or target configuration record."
experiments/prospective-magnitude-01/design/MAGNITUDE_RUNNER_PREEXEC_RECORD_v1.json,CANONICAL_FROZEN_EVIDENCE,INCLUDED,"Frozen design, pre-observation patch, manifest, corpus, or target configuration record."
experiments/prospective-magnitude-01/design/MAGNITUDE_TARGET_CONFIGURATION_MANIFEST.json,CANONICAL_FROZEN_EVIDENCE,INCLUDED,"Frozen design, pre-observation patch, manifest, corpus, or target configuration record."
experiments/prospective-magnitude-01/design/PROSPECTIVE-MAGNITUDE-01_v0.1_FROZEN.md,CANONICAL_FROZEN_EVIDENCE,INCLUDED,"Frozen design, pre-observation patch, manifest, corpus, or target configuration record."
experiments/prospective-magnitude-01/design/PROSPECTIVE-MAGNITUDE-01_v0.2_FREEZE_MANIFEST.json,CANONICAL_FROZEN_EVIDENCE,INCLUDED,"Frozen design, pre-observation patch, manifest, corpus, or target configuration record."
experiments/prospective-magnitude-01/execution_001/ANALYSIS.json,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Preserved execution, raw/log/result, conclusion, or post-execution trace artifact."
experiments/prospective-magnitude-01/execution_001/EXECUTION_RECORD.json,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Preserved execution, raw/log/result, conclusion, or post-execution trace artifact."
experiments/prospective-magnitude-01/execution_001/LOGS.jsonl,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Preserved execution, raw/log/result, conclusion, or post-execution trace artifact."
experiments/prospective-magnitude-01/execution_001/RAW.jsonl,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Preserved execution, raw/log/result, conclusion, or post-execution trace artifact."
experiments/prospective-magnitude-01/execution_001/SCORES.jsonl,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Preserved execution, raw/log/result, conclusion, or post-execution trace artifact."
experiments/prospective-magnitude-01/implementation/MAGNITUDE_ANALYSIS.py,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Implementation, runner, parser, scorer, or pre-execution record preserved with the experiment chain."
experiments/prospective-magnitude-01/implementation/MAGNITUDE_CORPUS_GENERATOR.py,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Implementation, runner, parser, scorer, or pre-execution record preserved with the experiment chain."
experiments/prospective-magnitude-01/implementation/MAGNITUDE_PAIR_ANALYSIS_ADAPTER.py,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Implementation, runner, parser, scorer, or pre-execution record preserved with the experiment chain."
experiments/prospective-magnitude-01/implementation/MAGNITUDE_PARSER_SCORER.py,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Implementation, runner, parser, scorer, or pre-execution record preserved with the experiment chain."
experiments/prospective-magnitude-01/implementation/MAGNITUDE_SCORE_ADAPTER.py,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Implementation, runner, parser, scorer, or pre-execution record preserved with the experiment chain."
experiments/prospective-magnitude-01/implementation/PROSPECTIVE-MAGNITUDE-01_v0.2_PREOBS_IMPLEMENTATION_PATCH.md,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Implementation, runner, parser, scorer, or pre-execution record preserved with the experiment chain."
experiments/prospective-magnitude-01/implementation/RUN_PROSPECTIVE_MAGNITUDE_01_v1.py,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Implementation, runner, parser, scorer, or pre-execution record preserved with the experiment chain."
inventory/ADDITIONAL_LOCAL_SOURCE_REVIEW.csv,HANDOFF_INDEX_RESEARCH_NOTE,INCLUDED,"Repository guide, inventory, provenance, publication review, or research-note artifact."
inventory/AICOS_GITHUB_FILE_TREE.txt,HANDOFF_INDEX_RESEARCH_NOTE,INCLUDED,"Repository guide, inventory, provenance, publication review, or research-note artifact."
inventory/AICOS_GITHUB_INVENTORY.csv,HANDOFF_INDEX_RESEARCH_NOTE,INCLUDED,"Repository guide, inventory, provenance, publication review, or research-note artifact."
inventory/GITHUB_STAGING_CLASSIFICATION.csv,HANDOFF_INDEX_RESEARCH_NOTE,INCLUDED,"Repository guide, inventory, provenance, publication review, or research-note artifact. Explicitly excluded only from recursive self-hash enumeration where applicable."
inventory/GITHUB_STAGING_CLASSIFICATION_2026-09-25.csv,HANDOFF_INDEX_RESEARCH_NOTE,INCLUDED,"Repository guide, inventory, provenance, publication review, or research-note artifact. Dated supplement; does not replace the historical classification."
inventory/GITHUB_STAGING_HASHES.csv,HANDOFF_INDEX_RESEARCH_NOTE,INCLUDED,"Repository guide, inventory, provenance, publication review, or research-note artifact. Explicitly excluded only from recursive self-hash enumeration where applicable."
inventory/GITHUB_STAGING_HASHES_2026-09-25.csv,HANDOFF_INDEX_RESEARCH_NOTE,INCLUDED,"Repository guide, inventory, provenance, publication review, or research-note artifact. Dated supplement; does not replace the historical hash inventory. Explicitly excluded only from recursive self-hash enumeration."
inventory/MISSING_RELEVANT_ARTIFACTS.md,HANDOFF_INDEX_RESEARCH_NOTE,INCLUDED,"Repository guide, inventory, provenance, publication review, or research-note artifact."
inventory/PRIVACY_REVIEW_FLAGS.md,HANDOFF_INDEX_RESEARCH_NOTE,INCLUDED,"Repository guide, inventory, provenance, publication review, or research-note artifact."
inventory/PUBLICATION_COPIES_MANIFEST.csv,HANDOFF_INDEX_RESEARCH_NOTE,INCLUDED,"Repository guide, inventory, provenance, publication review, or research-note artifact."
inventory/PUBLICATION_EXCLUSIONS.txt,HANDOFF_INDEX_RESEARCH_NOTE,INCLUDED,"Repository guide, inventory, provenance, publication review, or research-note artifact."
inventory/PUBLICATION_PRIVACY_REVIEW.md,HANDOFF_INDEX_RESEARCH_NOTE,INCLUDED,"Repository guide, inventory, provenance, publication review, or research-note artifact."
methodology/pre-freeze/AICOS_PRE_FREEZE_EXPERIMENT_QUALIFICATION_RULE_v0.1_FROZEN.md,HANDOFF_INDEX_RESEARCH_NOTE,INCLUDED,"Frozen experiment-operations rule; not evidence, not an AICOS Core norm, no retroactive effect. Classified 2026-09-25."
publication-copies/CHECK_V4_LINE_ENDINGS.PUBLICATION_COPY.py,PUBLICATION_COPY_REDACTED,INCLUDED,Public-tracking copy; only the documented local-path pseudonymization differs from its archival original.
publication-copies/RUN_PROSPECTIVE_DIAG_2ARM_01.PUBLICATION_COPY.py,PUBLICATION_COPY_REDACTED,INCLUDED,Public-tracking copy; only the documented local-path pseudonymization differs from its archival original.
publication-copies/RUN_PROSPECTIVE_DIAG_2ARM_01_v2.PUBLICATION_COPY.py,PUBLICATION_COPY_REDACTED,INCLUDED,Public-tracking copy; only the documented local-path pseudonymization differs from its archival original.
publication-copies/RUN_PROSPECTIVE_DIAG_2ARM_01_v3.PUBLICATION_COPY.py,PUBLICATION_COPY_REDACTED,INCLUDED,Public-tracking copy; only the documented local-path pseudonymization differs from its archival original.
publication-copies/RUN_PROSPECTIVE_DIAG_2ARM_01_v4.PUBLICATION_COPY.py,PUBLICATION_COPY_REDACTED,INCLUDED,Public-tracking copy; only the documented local-path pseudonymization differs from its archival original.
publication-copies/RUN_PROSPECTIVE_DIAG_2ARM_01_v5.PUBLICATION_COPY.py,PUBLICATION_COPY_REDACTED,INCLUDED,Public-tracking copy; only the documented local-path pseudonymization differs from its archival original.
publication-copies/SMOKE_CLEAN_STDOUT.PUBLICATION_COPY.py,PUBLICATION_COPY_REDACTED,INCLUDED,Public-tracking copy; only the documented local-path pseudonymization differs from its archival original.
research-context/R3-R3.2/STATUS_SUMMARY_2026-09-25.md,HANDOFF_INDEX_RESEARCH_NOTE,INCLUDED,"Bounded R3-R3.2 status summary; not a new run, replication, or confirmatory result. Classified 2026-09-25."
research-context/additional-local/measurement-assurance/LOCAL_SOURCE_PROVENANCE.md,HANDOFF_INDEX_RESEARCH_NOTE,INCLUDED,Generated provenance for the separately preserved historical context.
research-context/additional-local/measurement-assurance/diagnosticity/AICOS_DIAGNOSTICITY_CROSS_EXPERIMENT_REVIEW_v0.1.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/AICOS_DIAGNOSTICITY_PREFLIGHT_v0.1.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/AICOS_DIAGNOSTICITY_RESEARCH_NOTES_v0.1.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/MANIFEST.json,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/README.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/addenda/AICOS_DIAGNOSTICITY_METHOD_PACK_v0.1_EVIDENCE_BASIS_ADDENDUM_01.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/checkpoints/2026-09-20/DIAGNOSTICITY_CHECKPOINT_FILESET_MANIFEST_v0.1.json,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/checkpoints/2026-09-20/DIAGNOSTICITY_CHECKPOINT_FILESET_MANIFEST_v0.1.json.sha256,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/checkpoints/2026-09-20/DIAGNOSTICITY_RESEARCH_CHECKPOINT_v0.1.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/checkpoints/2026-09-20/DIAGNOSTICITY_RESEARCH_CHECKPOINT_v0.1.md.sha256,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/checkpoints/2026-09-20/F2_RESULT_PRESERVATION_AND_POSTHOC_ATTRIBUTION_BOUNDARY_v0.1.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/checkpoints/2026-09-20/F2_RESULT_PRESERVATION_AND_POSTHOC_ATTRIBUTION_BOUNDARY_v0.1.md.sha256,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/control-validation/historical-v3.3/blind-packet/FRIDA_BLIND_CLASSIFICATION_REQUEST.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/control-validation/historical-v3.3/blind-packet/SOURCE_MANIFEST.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/control-validation/historical-v3.3/blind-packet/original-subset/Forskning_och_Analyschef.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/control-validation/historical-v3.3/blind-packet/original-subset/Kritisk_Granskare.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/control-validation/historical-v3.3/blind-packet/original-subset/Valideringsplan_v1.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/control-validation/historical-v3.3/blind-packet/original-subset/logg.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/control-validation/historical-v3.3/internal/CASE_SELECTION_RECORD.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/control-validation/historical-v3.3/results/AICOS_HIST_DIAG_CTRL_01_D1_D11_ASSESSMENT_v0.1.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/control-validation/historical-v3.3/results/FRIDA_BLIND_CLASSIFICATION_BASIS_ADDENDUM_v0.1.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/control-validation/historical-v3.3/results/FRIDA_BLIND_CLASSIFICATION_BASIS_ADDENDUM_v0.1.md.sha256,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/control-validation/historical-v3.3/results/FRIDA_BLIND_CLASSIFICATION_RESULT.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
