SourcePath,Filename,Bytes,SHA256,Classification,MatchingStagedArtifact,RecommendedAction,Notes
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\MANIFEST.md,MANIFEST.md,5481,caece36973dfaee4a4c0f371dbae38f1ec0965dde605373f7b97f277906543f9,POSSIBLE_OLDER_OR_SUPERSEDED_VERSION,,Preserve at original path; do not copy without provenance review.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\Master_Role_Template.md,Master_Role_Template.md,3405,e566a40954dc6234cb7c6c59dd68564f28a0474580fa83ba7d88fa6a861a2c3f,POSSIBLE_OLDER_OR_SUPERSEDED_VERSION,,Preserve at original path; do not copy without provenance review.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\Offer_och_Forsaljningsarkitekt.md,Offer_och_Forsaljningsarkitekt.md,4824,c10a2f797013a5c1656ae6291b33aa63f71b330859f09c990a5667259d0a0146,POSSIBLE_OLDER_OR_SUPERSEDED_VERSION,,Preserve at original path; do not copy without provenance review.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\Operations_och_Effektivitetsoptimering.md,Operations_och_Effektivitetsoptimering.md,4526,a04adc8a282b9b0c21f1d1810ac9d112bfe5e6db674fe4223c2b761b7cc1c0d7,POSSIBLE_OLDER_OR_SUPERSEDED_VERSION,,Preserve at original path; do not copy without provenance review.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\Personlig_Coach_och_Mentor.md,Personlig_Coach_och_Mentor.md,4856,e0a6c429f85b14a69577f870db5306fc3df6b71e525ab46dc700f7309c5f943e,POSSIBLE_OLDER_OR_SUPERSEDED_VERSION,,Preserve at original path; do not copy without provenance review.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\Produktvisionar_och_Innovator.md,Produktvisionar_och_Innovator.md,4651,ae8fac8dbf7b22c7d80dd46aa0d5c33485ed0460b815da4beb58b87b3282234f,POSSIBLE_OLDER_OR_SUPERSEDED_VERSION,,Preserve at original path; do not copy without provenance review.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\PROTOCOLS\README.md,README.md,943,0168c796580e041e38e95e17eb90e5f4004bb62432ab17ee7a8f9b82810b4978,DUPLICATE_NAME_DIFFERENT_HASH,README.md; runtime-provenance/README.md,Stop automatic consolidation for this artifact; same filename has different staged hash.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\RAW\README.md,README.md,619,d9b037be017a6d3a7eaef3a3966c4a34eebbf65b61cf18d57551b9d515786a85,DUPLICATE_NAME_DIFFERENT_HASH,README.md; runtime-provenance/README.md,Stop automatic consolidation for this artifact; same filename has different staged hash.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\README.md,README.md,4427,1cbada5a3f934a9f637f700f0f970c5f85357a18bf1681d36ae8f7417e0ab85f,DUPLICATE_NAME_DIFFERENT_HASH,README.md; runtime-provenance/README.md,Stop automatic consolidation for this artifact; same filename has different staged hash.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\REPO_CORRECTIONS.md,REPO_CORRECTIONS.md,995,c09ea4e9e6fba72bf36577bab2b1c16f25ed40735140da6f5539ea0ce42e17c3,POSSIBLE_OLDER_OR_SUPERSEDED_VERSION,,Preserve at original path; do not copy without provenance review.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\REPORTS\README.md,README.md,617,6e0fd3ec3bab259f60ba36d422721085cf8b4f7b6750e0cca8b348a8e5023cf5,DUPLICATE_NAME_DIFFERENT_HASH,README.md; runtime-provenance/README.md,Stop automatic consolidation for this artifact; same filename has different staged hash.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\RESULTS\README.md,README.md,513,0d18e9e1adc759c03e47ff3a1a544359261dfeeabbc7b2cc51ce1916734d7001,DUPLICATE_NAME_DIFFERENT_HASH,README.md; runtime-provenance/README.md,Stop automatic consolidation for this artifact; same filename has different staged hash.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\Strategisk_Visionar_och_Affarsarkitekt.md,Strategisk_Visionar_och_Affarsarkitekt.md,4524,0db8199a43ce27deed073f33579fc77430ba5b89ce91277683a51b85fda5b263,POSSIBLE_OLDER_OR_SUPERSEDED_VERSION,,Preserve at original path; do not copy without provenance review.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\Teknisk_Arkitekt_och_Byggansvarig.md,Teknisk_Arkitekt_och_Byggansvarig.md,4965,41a856e171feea3fe4be97a9137535c5d519ea3f7c324245cec7faf81e1d504d,POSSIBLE_OLDER_OR_SUPERSEDED_VERSION,,Preserve at original path; do not copy without provenance review.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\validation\v3.4\logs\pre-run-amendment.md,pre-run-amendment.md,398,7e3760bc9049d7752081d5dbda46c26b2ed73890863f0eee8a8fbaf6670b636f,POSSIBLE_OLDER_OR_SUPERSEDED_VERSION,,Preserve at original path; do not copy without provenance review.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\validation\v3.4\logs\run-log.md,run-log.md,596,bb06bc53073b644a878c3c0a6ad5a31ce9aa993b3213d3e4edda931fa2f90fcc,POSSIBLE_OLDER_OR_SUPERSEDED_VERSION,,Preserve at original path; do not copy without provenance review.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\validation\v3.4\raw\README.md,README.md,659,038b7c67b963564c0fc5228561b204340c62f828cfc8e74b4015cc6ba00a1707,DUPLICATE_NAME_DIFFERENT_HASH,README.md; runtime-provenance/README.md,Stop automatic consolidation for this artifact; same filename has different staged hash.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\validation\v3.4\README.md,README.md,587,b3ab7ff2bebd52a1a9e0989dc5a31647c08c5effd3cf77b01ad77ad34353d6bc,DUPLICATE_NAME_DIFFERENT_HASH,README.md; runtime-provenance/README.md,Stop automatic consolidation for this artifact; same filename has different staged hash.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\validation\v3.4\report\targeted-regression-report.md,targeted-regression-report.md,2702,487c3d1a33faf696f18ac2f9f9c64b5b2c918ce08dcb9db93032e61a9ab7c58d,POSSIBLE_OLDER_OR_SUPERSEDED_VERSION,,Preserve at original path; do not copy without provenance review.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\validation\v3.4\results\mechanical-results.md,mechanical-results.md,827,a76b12899a938c89cb25abb8cf331da8448d2959fa95937128b5d13f989f64ba,POSSIBLE_OLDER_OR_SUPERSEDED_VERSION,,Preserve at original path; do not copy without provenance review.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\validation\v3.5a\README.md,README.md,1801,27797c9c3041cc66af37caf1a918fe322aae9ebed1b9d62c64cc494a8b5fec52,DUPLICATE_NAME_DIFFERENT_HASH,README.md; runtime-provenance/README.md,Stop automatic consolidation for this artifact; same filename has different staged hash.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\validation\v3.5b\README.md,README.md,4515,ec6b0560e3a996794c04b28c253e38b21e1edd1ea7d65f0c36ce64c060211570,DUPLICATE_NAME_DIFFERENT_HASH,README.md; runtime-provenance/README.md,Stop automatic consolidation for this artifact; same filename has different staged hash.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\validering\validering\logg.md,logg.md,8659,b3db788bd4677a149afcef7350014af83ed4b675cf415452a1a60cac5390ef53,POSSIBLE_OLDER_OR_SUPERSEDED_VERSION,,Preserve at original path; do not copy without provenance review.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\validering\validering\resultat_S4.md,resultat_S4.md,4447,573273a8f8a355ce8725e13e99fdfc1d2645eefdb889b653c55887c73cc9b8eb,POSSIBLE_OLDER_OR_SUPERSEDED_VERSION,,Preserve at original path; do not copy without provenance review.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\validering\validering\resultat_samlat.md,resultat_samlat.md,5446,22a504d74d199b36aa4e81e548f521ffd138050fc178947893a3758c67938aa9,POSSIBLE_OLDER_OR_SUPERSEDED_VERSION,,Preserve at original path; do not copy without provenance review.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\validering\validering\SLUTRAPPORT_valideringsplan_v1.md,SLUTRAPPORT_valideringsplan_v1.md,6576,03ef84b67b5858d31bc0dd0695b9a4083c57720e6a31581d24be1e3ed165e5fc,POSSIBLE_OLDER_OR_SUPERSEDED_VERSION,,Preserve at original path; do not copy without provenance review.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\validering\validering\svar_S1_UTAN.md,svar_S1_UTAN.md,30662,618ef169737d261be3f3d2cb91e38b26103b22c5e9efe5ae3386805c9968ec08,POSSIBLE_OLDER_OR_SUPERSEDED_VERSION,,Preserve at original path; do not copy without provenance review.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\validering\validering\svar_S2.md,svar_S2.md,61144,8bc926661dbf0a8f16937e5671bb674ba64bae66ce76d570b75ab7e32ad07e80,POSSIBLE_OLDER_OR_SUPERSEDED_VERSION,,Preserve at original path; do not copy without provenance review.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\validering\validering\svar_S3.md,svar_S3.md,54281,ed3ac19db15e62d97b2e7217bd3945deaa5046ec27cc1372e4dac503c586c8f9,POSSIBLE_OLDER_OR_SUPERSEDED_VERSION,,Preserve at original path; do not copy without provenance review.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\validering\validering\svar_S4_MED_001-010_manuell.md,svar_S4_MED_001-010_manuell.md,17736,49b5887884774035583bb37b24cf585425fbfcbb35872c900ab829a7fdcd8a10,POSSIBLE_OLDER_OR_SUPERSEDED_VERSION,,Preserve at original path; do not copy without provenance review.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\validering\validering\svar_S4_UTAN_011-020.md,svar_S4_UTAN_011-020.md,38407,cdd9a65091b127a3b8f7a49b1597aa7798eb3945e7512dc2c8568989dd33c61e,POSSIBLE_OLDER_OR_SUPERSEDED_VERSION,,Preserve at original path; do not copy without provenance review.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\validering\Valideringsplan_v1.md,Valideringsplan_v1.md,8007,1aab095f8437b448de51a923ec926a9b5ede3a56b13f3b9337ddcda6df191cd5,POSSIBLE_OLDER_OR_SUPERSEDED_VERSION,,Preserve at original path; do not copy without provenance review.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\Workflow_Templates.md,Workflow_Templates.md,5503,f76fba3cbf8a971e784157c0e63421399755448b7be3a8179e1bc99d67b66048,POSSIBLE_OLDER_OR_SUPERSEDED_VERSION,,Preserve at original path; do not copy without provenance review.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\audit_v35b\AUDIT_AND_RESULT_REPORT.md,AUDIT_AND_RESULT_REPORT.md,4034,3a2ca1803769bb49aa021256b00db96f7fd945c40f407046602e268e0106bc4b,NEW_RELEVANT_ARTIFACT,,Clearly named AICOS research-context text artifact; copy as non-canonical context if no conflict.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\audit_v35b\audit_and_score.py,audit_and_score.py,13307,1e29efe48aa0e4711a4ee7b0317f4f8682dccfed950318f852e70e17c3fe137d,NEW_RELEVANT_ARTIFACT,,Clearly named AICOS research-context text artifact; copy as non-canonical context if no conflict.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\audit_v35b\audit_log.json,audit_log.json,12824,4a7eb700b83f6b050b7778027988150a7677d5dfeae55049074fc10b688c6f0c,NEW_RELEVANT_ARTIFACT,,Clearly named AICOS research-context text artifact; copy as non-canonical context if no conflict.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\audit_v35c\POST_RUN_ANALYSIS_v3.5c.md,POST_RUN_ANALYSIS_v3.5c.md,20973,c8df1339d2ec82e546357332ea23148538ff9b3e87b9949cbc09b8da27dedbdf,NEW_RELEVANT_ARTIFACT,,Clearly named AICOS research-context text artifact; copy as non-canonical context if no conflict.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\audit_v35c\s1_review_source.json,s1_review_source.json,93374,fe361e29abe40f31a4f919d58b62b46054a92c9bb213369f815d91c9d47f722a,NEW_RELEVANT_ARTIFACT,,Clearly named AICOS research-context text artifact; copy as non-canonical context if no conflict.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\audit_v35c\verification.json,verification.json,3392,2456ae0328e0b00fa26fc4fe33476c53c3cb2cd80ded85855ecaacdb23c235c7,NEW_RELEVANT_ARTIFACT,,Clearly named AICOS research-context text artifact; copy as non-canonical context if no conflict.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\audit_v35c\verify_v35c.py,verify_v35c.py,11051,6006115d14096e02a795fddcec5f5f2509a46ccb68257b45eeaea4e6d95b775d,NEW_RELEVANT_ARTIFACT,,Clearly named AICOS research-context text artifact; copy as non-canonical context if no conflict.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\measurement_calibration_v0.1\00_frozen_inputs\input_audit.json,input_audit.json,6745,3622fb1a4b7cc6f3e7a9d46ac287065af5856956d1d41aeddb65956e87a11f80,NEW_RELEVANT_ARTIFACT,,Clearly named AICOS research-context text artifact; copy as non-canonical context if no conflict.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\measurement_calibration_v0.1\00_frozen_inputs\pilot_inputs\P001.json,P001.json,4035,ad72105c407fc601746796f7650e24b55f1f0f588e9ce4134b76acacd2de36e4,NEW_RELEVANT_ARTIFACT,,Clearly named AICOS research-context text artifact; copy as non-canonical context if no conflict.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\measurement_calibration_v0.1\00_frozen_inputs\pilot_inputs\P002.json,P002.json,4775,9be54047b7172adc772260dbf21061840ba07251bfa93cc554cdba0245af68a0,NEW_RELEVANT_ARTIFACT,,Clearly named AICOS research-context text artifact; copy as non-canonical context if no conflict.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\measurement_calibration_v0.1\00_frozen_inputs\pilot_inputs\P003.json,P003.json,3980,e54884781a816f3f57913ea18dc50719d1493830394bee1e0beb9003de737a93,NEW_RELEVANT_ARTIFACT,,Clearly named AICOS research-context text artifact; copy as non-canonical context if no conflict.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\measurement_calibration_v0.1\00_frozen_inputs\pilot_inputs\P004.json,P004.json,3861,818673102d42cc87378999d9efc4a1078cf77ccdea013119611bc4254827be13,NEW_RELEVANT_ARTIFACT,,Clearly named AICOS research-context text artifact; copy as non-canonical context if no conflict.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\measurement_calibration_v0.1\00_frozen_inputs\pilot_inputs\P005.json,P005.json,4274,21a7a7d7ae3fda80668650a00ea840435bcc9d301754b097ae172230c44ab478,NEW_RELEVANT_ARTIFACT,,Clearly named AICOS research-context text artifact; copy as non-canonical context if no conflict.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\measurement_calibration_v0.1\00_frozen_inputs\pilot_inputs\P006.json,P006.json,5021,fe2fbb1064726442470f9788d10eabcb5216f4a884a0669af9882010d6323973,NEW_RELEVANT_ARTIFACT,,Clearly named AICOS research-context text artifact; copy as non-canonical context if no conflict.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\measurement_calibration_v0.1\00_frozen_inputs\pilot_inputs\P007.json,P007.json,4189,96a32559af0db4843d35fa543b100aa2a37b33215b97dac989b3e35067d80cf3,NEW_RELEVANT_ARTIFACT,,Clearly named AICOS research-context text artifact; copy as non-canonical context if no conflict.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\measurement_calibration_v0.1\00_frozen_inputs\pilot_inputs\P008.json,P008.json,3816,76f40875713e2917f64f26c058896fe4e95bbb777522049dade7e0c992d266ff,NEW_RELEVANT_ARTIFACT,,Clearly named AICOS research-context text artifact; copy as non-canonical context if no conflict.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\measurement_calibration_v0.1\00_frozen_inputs\pilot_inputs\P009.json,P009.json,4279,29ee928a8ce1d9c1957693840332fd94b59b3aab85ce4c3cd4d3946d71604b20,NEW_RELEVANT_ARTIFACT,,Clearly named AICOS research-context text artifact; copy as non-canonical context if no conflict.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\measurement_calibration_v0.1\00_frozen_inputs\pilot_inputs\P010.json,P010.json,4340,170bb2e5ad542d144c8dcf1e7769cd2edd84f4240e461975b0a3a2e2c83be39a,NEW_RELEVANT_ARTIFACT,,Clearly named AICOS research-context text artifact; copy as non-canonical context if no conflict.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\measurement_calibration_v0.1\00_frozen_inputs\pilot_inputs\P011.json,P011.json,4547,504407c9cb7a965c66aecd919b6bdb29ec7eb7ff8923ce6ead0674331b8f07df,NEW_RELEVANT_ARTIFACT,,Clearly named AICOS research-context text artifact; copy as non-canonical context if no conflict.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\measurement_calibration_v0.1\00_frozen_inputs\pilot_inputs\P012.json,P012.json,3946,3aeaf1d03ee28915125f9584021121695e1cbfa0cb0916b694448a2c9e29e8bf,NEW_RELEVANT_ARTIFACT,,Clearly named AICOS research-context text artifact; copy as non-canonical context if no conflict.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\measurement_calibration_v0.1\00_frozen_inputs\pilot_inputs\P013.json,P013.json,4470,61178a275f58b69e46f7381448e4658a2e82eeaaa7281a3726d6de1872e7ba35,NEW_RELEVANT_ARTIFACT,,Clearly named AICOS research-context text artifact; copy as non-canonical context if no conflict.,Filename/path or bounded text scan matched AICOS research terms.
